label,frame,video
1,141,57680_002206_Sideline.mp4
1,158,57679_003316_Endzone.mp4
1,120,57583_000082_Endzone.mp4
1,42,57586_004152_Sideline.mp4
1,136,57997_003691_Endzone.mp4
1,53,57998_002181_Endzone.mp4
1,158,57680_002206_Sideline.mp4
1,146,57583_000082_Endzone.mp4
1,121,57997_003691_Sideline.mp4
1,157,58103_003494_Sideline.mp4
1,91,57998_002181_Endzone.mp4
1,32,57680_002206_Sideline.mp4
1,256,57583_000082_Endzone.mp4
1,180,57586_004152_Endzone.mp4
1,124,57680_002206_Endzone.mp4
1,114,57680_002206_Endzone.mp4
1,99,58103_003494_Sideline.mp4
1,138,57679_003316_Endzone.mp4
1,51,58103_003494_Endzone.mp4
1,174,57680_002206_Endzone.mp4
1,186,57679_003316_Endzone.mp4
1,113,57586_004152_Endzone.mp4
1,45,58095_004022_Endzone.mp4
1,170,57680_002206_Sideline.mp4
1,259,57680_002206_Endzone.mp4
1,62,58095_004022_Sideline.mp4
1,144,57906_000718_Sideline.mp4
1,159,58048_000086_Endzone.mp4
1,199,58095_004022_Sideline.mp4
1,52,57998_002181_Sideline.mp4
1,71,57583_000082_Sideline.mp4
1,270,57680_002206_Sideline.mp4
1,17,57906_000718_Sideline.mp4
1,152,58095_004022_Endzone.mp4
1,119,57679_003316_Endzone.mp4
1,155,57680_002206_Endzone.mp4
1,52,57906_000718_Endzone.mp4
1,60,57586_004152_Sideline.mp4
1,245,57583_000082_Endzone.mp4
1,214,57998_002181_Endzone.mp4
1,210,58095_004022_Sideline.mp4
1,119,58048_000086_Sideline.mp4
1,120,57911_000147_Sideline.mp4
1,79,58048_000086_Endzone.mp4
1,150,57906_000718_Sideline.mp4
1,187,57911_000147_Sideline.mp4
1,212,57998_002181_Endzone.mp4
1,91,58005_001254_Endzone.mp4
1,163,57583_000082_Endzone.mp4
1,62,57583_000082_Sideline.mp4
1,154,57583_000082_Sideline.mp4
1,89,58103_003494_Endzone.mp4
1,24,57586_004152_Sideline.mp4
1,132,57997_003691_Sideline.mp4
1,184,57906_000718_Endzone.mp4
1,122,57679_003316_Sideline.mp4
1,28,57997_003691_Sideline.mp4
1,68,58103_003494_Sideline.mp4
1,54,58103_003494_Endzone.mp4
1,49,58103_003494_Sideline.mp4
1,54,57906_000718_Sideline.mp4
1,72,58005_001254_Endzone.mp4
1,164,57583_000082_Endzone.mp4
1,173,57679_003316_Sideline.mp4
1,254,57911_000147_Endzone.mp4
1,131,57586_004152_Sideline.mp4
1,48,57997_003691_Sideline.mp4
1,137,57583_000082_Endzone.mp4
1,153,57583_000082_Sideline.mp4
1,170,57998_002181_Endzone.mp4
1,174,57583_000082_Sideline.mp4
1,168,57583_000082_Sideline.mp4
1,133,57679_003316_Endzone.mp4
1,79,58005_001254_Sideline.mp4
1,108,57997_003691_Endzone.mp4
1,17,58005_001254_Sideline.mp4
1,158,58048_000086_Endzone.mp4
1,110,57586_004152_Endzone.mp4
1,129,58095_004022_Endzone.mp4
1,89,57679_003316_Endzone.mp4
1,56,57679_003316_Endzone.mp4
1,72,58095_004022_Endzone.mp4
1,143,57997_003691_Sideline.mp4
1,86,57997_003691_Sideline.mp4
1,173,57997_003691_Endzone.mp4
1,63,57997_003691_Endzone.mp4
1,122,57680_002206_Sideline.mp4
1,141,57997_003691_Sideline.mp4
1,105,57680_002206_Endzone.mp4
1,102,57679_003316_Sideline.mp4
1,101,58103_003494_Endzone.mp4
1,59,58095_004022_Sideline.mp4
1,108,57680_002206_Endzone.mp4
1,43,57906_000718_Sideline.mp4
1,225,57998_002181_Endzone.mp4
1,91,57583_000082_Sideline.mp4
1,175,57998_002181_Endzone.mp4
1,84,58095_004022_Sideline.mp4
1,132,57997_003691_Endzone.mp4
1,113,57906_000718_Endzone.mp4
1,183,58095_004022_Sideline.mp4
1,224,57680_002206_Sideline.mp4
1,135,57680_002206_Endzone.mp4
1,114,57680_002206_Sideline.mp4
1,139,57680_002206_Endzone.mp4
1,90,57586_004152_Endzone.mp4
1,95,57583_000082_Endzone.mp4
1,53,58103_003494_Endzone.mp4
1,36,57997_003691_Sideline.mp4
1,153,57997_003691_Endzone.mp4
1,56,58005_001254_Endzone.mp4
1,184,57679_003316_Sideline.mp4
1,33,57583_000082_Sideline.mp4
1,87,57997_003691_Endzone.mp4
1,200,57583_000082_Sideline.mp4
1,55,57679_003316_Sideline.mp4
1,195,57911_000147_Endzone.mp4
1,54,58048_000086_Endzone.mp4
1,85,58103_003494_Endzone.mp4
1,71,57586_004152_Sideline.mp4
1,59,57679_003316_Sideline.mp4
